prompt,occasion,formality,constraint,color_tone,occasion_encoded,formality_encoded,constraint_encoded,color_tone_encoded
"something for a semi-formal summer solstice party, mystical but wearable",party,semi-formal,understated,bright,3,2,3,0
semi-formal awards night look that's memorable but not distracting,party,semi-formal,understated,dark,3,2,3,1
smart casual birthday party look that's elevated without being formal,party,semi-formal,understated,neutral,3,2,3,2
"semi-formal midsummer party look, romantic and a little dramatic",party,semi-formal,bold,soft,3,2,0,3
something vibrant for a semi-formal Caribbean themed party,party,semi-formal,bold,bright,3,2,0,0
semi-formal Halloween adjacent party where I want to look dark and cool not costumey,party,semi-formal,bold,dark,3,2,0,1
bold co-ord for a semi-formal dinner party where I know everyone will be stylish,party,semi-formal,bold,neutral,3,2,0,2
"semi-formal book club party look, intellectual but still cute",party,semi-formal,no_constraint,soft,3,2,2,3
what to wear to a semi-formal outdoor summer party at someone's villa,party,semi-formal,no_constraint,bright,3,2,2,0
"semi-formal leaving party look, I want people to remember how good I looked",party,semi-formal,no_constraint,dark,3,2,2,1
something for a semi-formal surprise party where I'm a guest not the host,party,semi-formal,no_constraint,neutral,3,2,2,2
"casual birthday garden party look, pretty but prepared for the grass",party,casual,understated,soft,3,0,3,3
something for an outdoor daytime party that won't look crumpled by noon,party,casual,understated,bright,3,0,3,0
"casual going out to a concert look, comfortable enough to stand for hours",party,casual,understated,dark,3,0,3,1
easy casual party look for a very low effort Sunday afternoon gathering,party,casual,understated,neutral,3,0,3,2
colourful bold casual party look for a friend's tropical themed birthday,party,casual,bold,soft,3,0,0,3
something fun and bright for a casual beach party in summer,party,casual,bold,bright,3,0,0,0
"punk casual party look, my friends have chaotic taste and so do I",party,casual,bold,dark,3,0,0,1
casual statement look for a party where I don't know many people so I want armour,party,casual,bold,neutral,3,0,0,2
"something for a casual pottery studio party, creative and cute",party,casual,no_constraint,soft,3,0,2,3
daytime casual party look that still counts as an outfit when I post it,party,casual,no_constraint,bright,3,0,2,0
"going to a friend's flat party, no dress code, I just want to look effortlessly good",party,casual,no_constraint,dark,3,0,2,1
casual birthday brunch outfit that's festive without looking like I'm trying,party,casual,no_constraint,neutral,3,0,2,2
"formal wedding in a cathedral, need something reverent but still stylish",wedding,formal,understated,soft,4,1,3,3
pastel formal gown for a spring wedding that feels expensive and light,wedding,formal,understated,bright,4,1,3,0
deep formal look for a December wedding where the venue is all candlelight,wedding,formal,understated,dark,4,1,3,1
"formal wedding guest look in greige or stone, quiet and elegant",wedding,formal,understated,neutral,4,1,3,2
"ruffled formal wedding guest dress in blush, I want to look like a painting",wedding,formal,bold,soft,4,1,0,3
"coral or tangerine formal wedding look, bold but still appropriate",wedding,formal,bold,bright,4,1,0,0
"velvet formal wedding guest look, dark and rich for a winter evening",wedding,formal,bold,dark,4,1,0,1
"wide-leg formal trouser look for a wedding, tailored and striking in neutrals",wedding,formal,bold,neutral,4,1,0,2
formal wedding look for when I genuinely don't know the couple that well,wedding,formal,no_constraint,soft,4,1,2,3
"formal tropical wedding look, bright and celebratory but not beach casual",wedding,formal,no_constraint,bright,4,1,2,0
formal autumn wedding where I want to wear something unexpected not just a gown,wedding,formal,no_constraint,dark,4,1,2,1
"something for a very formal Jewish wedding, covered shoulders but elegant",wedding,formal,no_constraint,neutral,4,1,2,2
"semi-formal lakeside wedding, serene and feminine, the water is in the background",wedding,semi-formal,understated,soft,4,2,3,3
"semi-formal barn wedding in summer, pretty but won't fight with the setting",wedding,semi-formal,understated,bright,4,2,3,0
"semi-formal moody autumn wedding in the woods, atmospheric and beautiful",wedding,semi-formal,understated,dark,4,2,3,1
"semi-formal city hall wedding followed by dinner, sleek and romantic",wedding,semi-formal,understated,neutral,4,2,3,2
"semi-formal Greek island wedding, the light there is golden and I want to match it",wedding,semi-formal,bold,soft,4,2,0,3
bright statement dress for a semi-formal outdoor festival wedding,wedding,semi-formal,bold,bright,4,2,0,0
"semi-formal gothic manor wedding, I want to lean into the architecture",wedding,semi-formal,bold,dark,4,2,0,1
something with print or texture for a semi-formal wedding that has personality,wedding,semi-formal,bold,neutral,4,2,0,2
"semi-formal garden wedding in spring, something that moves well in photos",wedding,semi-formal,no_constraint,soft,4,2,2,3
"semi-formal wedding on a boat, breezy and elegant, can't do spiky heels",wedding,semi-formal,no_constraint,bright,4,2,2,0
"semi-formal winter wedding, I don't want to be cold but I still want to look good",wedding,semi-formal,no_constraint,dark,4,2,2,1
semi-formal wedding where the couple has great style and I want to honour that,wedding,semi-formal,no_constraint,neutral,4,2,2,2
"casual intimate wedding at a restaurant, 20 people max, soft and relaxed",wedding,casual,understated,soft,4,0,3,3
"casual daytime wedding in a park, sundress energy but considered",wedding,casual,understated,bright,4,0,3,0
"casual city wedding in a cool venue, artsy crowd, not a traditional crowd",wedding,casual,understated,dark,4,0,3,1
"simple casual wedding at a registry office followed by a pub, comfy but nice",wedding,casual,understated,neutral,4,0,3,2
casual outdoor wedding where I want to be colourful and joyful,wedding,casual,bold,soft,4,0,0,3
"tropical prints for a casual beach side wedding, fun and appropriate",wedding,casual,bold,bright,4,0,0,0
"casual wedding with alternative dress code, I want to do something unexpected",wedding,casual,bold,dark,4,0,0,1
"casual but statement making wedding look, the couple is very cool and I respect that",wedding,casual,bold,neutral,4,0,0,2
relaxed casual wedding where I still want to feel special even without a dress code,wedding,casual,no_constraint,soft,4,0,2,3
"casual afternoon outdoor wedding in summer, loose and lovely",wedding,casual,no_constraint,bright,4,0,2,0
"casual warehouse wedding, the venue is industrial and I want to match the vibe",wedding,casual,no_constraint,dark,4,0,2,1
casual weekend wedding where I'm close enough to the couple to dress down a bit,wedding,casual,no_constraint,neutral,4,0,2,2
office look for a day when I have back to back client calls and need to feel sharp,office,formal,understated,soft,2,1,3,3
something formal for a day when I'm presenting to the exec team and need authority,office,formal,understated,bright,2,1,3,0
formal work look that photographs well for my new LinkedIn headshot,office,formal,understated,dark,2,1,3,1
"clean and formal office day look, simple but clearly intentional",office,formal,understated,neutral,2,1,3,2
formal work look that says I'm going places without saying it out loud,office,formal,bold,soft,2,1,0,3
something bright and formal for a day when I need to feel energetic at work,office,formal,bold,bright,2,1,0,0
"formal dark office look with presence, I want to walk into the room and be noticed",office,formal,bold,dark,2,1,0,1
"bold neutral power look for a formal office day, structured and serious",office,formal,bold,neutral,2,1,0,2
formal work outfit for a day where I genuinely have no idea what to wear,office,formal,no_constraint,soft,2,1,2,3
"something formal for a work trip to another city, polished and travel ready",office,formal,no_constraint,bright,2,1,2,0
formal office look that works from morning standup to an evening client dinner,office,formal,no_constraint,dark,2,1,2,1
formal workwear that feels like me even in a very corporate environment,office,formal,no_constraint,neutral,2,1,2,2
semi-formal workday where I have a creative review and want to look the part,office,semi-formal,understated,soft,2,2,3,3
smart casual office look for a day when I have a team lunch somewhere nice,office,semi-formal,understated,bright,2,2,3,0
semi-formal work look for my first week at a new job when I'm still reading the room,office,semi-formal,understated,dark,2,2,3,1
"business casual look for a hybrid day, zoom in the morning real life in the afternoon",office,semi-formal,understated,neutral,2,2,3,2
"semi-formal work outfit with personality, I refuse to look like everyone else",office,semi-formal,bold,soft,2,2,0,3
something semi-formal but expressive for a creative agency office environment,office,semi-formal,bold,bright,2,2,0,0
"semi-formal dark work look with texture and intention, not just a blazer",office,semi-formal,bold,dark,2,2,0,1
bold smart casual office look that breaks the mould without breaking the dress code,office,semi-formal,bold,neutral,2,2,0,2
semi-formal work look for an office with absolutely no dress code and too many options,office,semi-formal,no_constraint,soft,2,2,2,3
smart casual office look when I'm going to a work event after and need it to transition,office,semi-formal,no_constraint,bright,2,2,2,0
semi-formal office day look that feels polished on camera and comfortable in person,office,semi-formal,no_constraint,dark,2,2,2,1
smart casual work look that doesn't make me feel like I'm wearing a uniform,office,semi-formal,no_constraint,neutral,2,2,2,2
"wfh outfit for a day of deep focus, no calls, just want to feel productive and calm",office,casual,understated,soft,2,0,3,3
casual work day look that still makes me feel like I have my life together,office,casual,understated,bright,2,0,3,0
"work from home dark tones look, comfortable but still has a vibe",office,casual,understated,dark,2,0,3,1
"casual office look for a slow Friday, relaxed but not invisible",office,casual,understated,neutral,2,0,3,2
"bold casual work from home look, I dress up even when no one can see me",office,casual,bold,soft,2,0,0,3
"casual work day with a bold colour moment, I need something fun to get through the week",office,casual,bold,bright,2,0,0,0
"casual dark office look with edge, I work in tech but I still care about what I wear",office,casual,bold,dark,2,0,0,1
"casual work look with a statement piece, neutral base interesting addition",office,casual,bold,neutral,2,0,0,2
"casual office day with no rules, I just want to feel comfortable and confident",office,casual,no_constraint,soft,2,0,2,3
casual Friday look that says I'm fun but still professional when it counts,office,casual,no_constraint,bright,2,0,2,0
casual work from home look where I genuinely might not see anyone but still want to try,office,casual,no_constraint,dark,2,0,2,1
"relaxed casual workday look, comfortable and considered, not pyjamas but close",office,casual,no_constraint,neutral,2,0,2,2
everyday soft look for a slow weekend morning that still feels intentional,casual,formal,understated,soft,0,1,3,3
bright elevated casual look for a spontaneous day when anything could happen,casual,formal,understated,bright,0,1,3,0
"dark elevated everyday look, I dress like I have places to be even when I don't",casual,formal,understated,dark,0,1,3,1
neutral elegant casual look for a girl who treats daily dressing as a ritual,casual,formal,understated,neutral,0,1,3,2
"soft bold casual look, playful and feminine for a girl who loves fashion",casual,formal,bold,soft,0,1,0,3
bright bold casual look for someone who believes every day deserves a real outfit,casual,formal,bold,bright,0,1,0,0
"dark bold everyday look with a fashion edge, my casual is other people's going out",casual,formal,bold,dark,0,1,0,1
bold neutral casual look for someone who takes personal style very seriously,casual,formal,bold,neutral,0,1,0,2
"soft elevated casual look with no agenda, just dressing for joy",casual,formal,no_constraint,soft,0,1,2,3
bright open casual look for a day with no plans and good weather,casual,formal,no_constraint,bright,0,1,2,0
"dark elevated casual look, editorial feeling even while doing nothing",casual,formal,no_constraint,dark,0,1,2,1
"neutral elevated casual look, curated and considered for a regular Tuesday",casual,formal,no_constraint,neutral,0,1,2,2
soft semi-formal casual look for a Sunday lunch at a nice local restaurant,casual,semi-formal,understated,soft,0,2,3,3
bright semi-formal look for a daytime garden event that isn't quite a party,casual,semi-formal,understated,bright,0,2,3,0
dark semi-formal casual look for a sophisticated afternoon out,casual,semi-formal,understated,dark,0,2,3,1
neutral semi-formal casual look that works for both errands and an unexpected coffee date,casual,semi-formal,understated,neutral,0,2,3,2
bold soft semi-formal everyday look for a girl who dresses like she has somewhere to be,casual,semi-formal,bold,soft,0,2,0,3
bright bold semi-formal casual look for someone with unshakeable personal style,casual,semi-formal,bold,bright,0,2,0,0
"dark bold semi-formal casual outfit, interesting and layered even on a nothing day",casual,semi-formal,bold,dark,0,2,0,1
"bold neutral semi-formal everyday look, statement without drama",casual,semi-formal,bold,neutral,0,2,0,2
semi-formal casual soft look that has no rules but still feels deliberate,casual,semi-formal,no_constraint,soft,0,2,2,3
semi-formal casual bright look for a spontaneous summer afternoon adventure,casual,semi-formal,no_constraint,bright,0,2,2,0
"dark semi-formal casual look with no constraints, I dress how I feel",casual,semi-formal,no_constraint,dark,0,2,2,1
"neutral semi-formal casual look, refined and easy and completely mine",casual,semi-formal,no_constraint,neutral,0,2,2,2
soft everyday casual look for a girl who's not trying to impress anyone,casual,casual,understated,soft,0,0,3,3
bright everyday casual look for a girl who wears colour like it costs her nothing,casual,casual,understated,bright,0,0,3,0
"dark everyday casual look, always in black, it's a lifestyle not a phase",casual,casual,understated,dark,0,0,3,1
"neutral everyday casual look that's effortless and clean, no fuss",casual,casual,understated,neutral,0,0,3,2
"bold soft casual look, I like feminine colours and I'm not shy about it",casual,casual,bold,soft,0,0,0,3
bright bold everyday casual look for someone who brings the energy,casual,casual,bold,bright,0,0,0,0
dark bold everyday casual look for the girl who never tones it down,casual,casual,bold,dark,0,0,0,1
"bold neutral casual look, interesting shapes and textures in a quiet palette",casual,casual,bold,neutral,0,0,0,2
casual no rules soft look for a girl who dresses for herself exclusively,casual,casual,no_constraint,soft,0,0,2,3
"bright casual look with zero agenda, I just want to feel alive in my clothes",casual,casual,no_constraint,bright,0,0,2,0
"dark casual no rules look, I wear what I want and it's always giving",casual,casual,no_constraint,dark,0,0,2,1
"neutral casual look with complete freedom, clean simple effortless",casual,casual,no_constraint,neutral,0,0,2,2
"formal first date to an opera, yes actually the opera, help",date,formal,understated,soft,1,1,3,3
"formal dinner date at a Michelin star restaurant, I want to look like I belong",date,formal,understated,bright,1,1,3,0
"formal date at a private members club, the dress code is strict and I panicked",date,formal,understated,dark,1,1,3,1
"formal date to a gala with someone I really like, pressure is immense",date,formal,understated,neutral,1,1,3,2
"bold romantic formal date look, I'm going all in and I want to look like I mean it",date,formal,bold,soft,1,1,0,3
"bright bold formal date look, I'm meeting someone exciting and I want to match",date,formal,bold,bright,1,1,0,0
dramatic dark formal date look for someone who has extremely high standards,date,formal,bold,dark,1,1,0,1
"bold neutral formal date, the venue is very fancy and I want to look equal to it",date,formal,bold,neutral,1,1,0,2
formal date look that's personal and interesting not just conventionally pretty,date,formal,no_constraint,soft,1,1,2,3
"formal date look that's bright and joyful, I want to feel radiant",date,formal,no_constraint,bright,1,1,2,0
formal dark date look that's unconventional but still clearly dressed for the occasion,date,formal,no_constraint,dark,1,1,2,1
formal date look in neutrals that feels like a signature not a safe choice,date,formal,no_constraint,neutral,1,1,2,2
"semi-formal date at a rooftop restaurant, I want to look city chic",date,semi-formal,understated,soft,1,2,3,3
"semi-formal spring date at a nice outdoor terrace, light and pretty",date,semi-formal,understated,bright,1,2,3,0
"semi-formal evening date, nice bar then dinner, dark and elegant",date,semi-formal,understated,dark,1,2,3,1
semi-formal date where I want to look put together without looking like I planned it,date,semi-formal,understated,neutral,1,2,3,2
semi-formal date look that's confident and bold and a little romantic,date,semi-formal,bold,soft,1,2,0,3
bright bold semi-formal date look for a summer evening with serious potential,date,semi-formal,bold,bright,1,2,0,0
"dark bold semi-formal date, I want to look like a protagonist not a background character",date,semi-formal,bold,dark,1,2,0,1
"bold neutral semi-formal date, I'm dressing for confidence not for the occasion",date,semi-formal,bold,neutral,1,2,0,2
semi-formal date look that feels completely natural and entirely me,date,semi-formal,no_constraint,soft,1,2,2,3
semi-formal date look that's fresh and vibrant for a warm evening out,date,semi-formal,no_constraint,bright,1,2,2,0
"dark semi-formal date look with quiet intensity, I want to be interesting",date,semi-formal,no_constraint,dark,1,2,2,1
semi-formal date in neutrals that feels elevated and considered,date,semi-formal,no_constraint,neutral,1,2,2,2
"casual date at a dog café, cute but relaxed, can't wear anything that'll get hairy",date,casual,understated,soft,1,0,3,3
"casual daytime date to a flower market, soft and pretty and practical",date,casual,understated,bright,1,0,3,0
casual dark date look for going to see a film and getting food after,date,casual,understated,dark,1,0,3,1
casual neutral date look for someone I've known a while but finally going on a proper date with,date,casual,understated,neutral,1,0,3,2
"bold casual date look in soft colours, I want to be remembered but also comfortable",date,casual,bold,soft,1,0,0,3
"bold bright casual date look, it's summer and I want to be unforgettable",date,casual,bold,bright,1,0,0,0
"bold dark casual date look, I dress like this normally and I want him to know it",date,casual,bold,dark,1,0,0,1
"bold neutral casual date look, I'm confident and I want my clothes to say it too",date,casual,bold,neutral,1,0,0,2
"casual date look with no rules, I just want to feel like the best version of myself",date,casual,no_constraint,soft,1,0,2,3
"bright casual date look, easy and colourful for someone I want to impress without trying",date,casual,no_constraint,bright,1,0,2,0
"dark casual date no rules look, I want to be effortlessly cool and that's it",date,casual,no_constraint,dark,1,0,2,1
neutral casual date look that's so me it's almost a personal statement,date,casual,no_constraint,neutral,1,0,2,2
"formal warehouse rave turned upscale event, I don't know what to wear but it's a look",party,formal,understated,soft,3,1,3,3
something for an exclusive formal rooftop party with a dress code I can't decode,party,semi-formal,bold,bright,3,2,0,0
"casual end of summer backyard sendoff party, nostalgic and cute",party,casual,no_constraint,dark,3,0,2,1
semi-formal engagement party where both families will be there and I want to be liked,party,semi-formal,understated,neutral,3,2,3,2
"formal wedding anniversary party for my parents, respectful but still stylish",wedding,formal,bold,soft,4,1,0,3
"semi-formal wedding vow renewal celebration, joyful and light",wedding,semi-formal,no_constraint,bright,4,2,2,0
"casual outdoor wedding blessing ceremony, relaxed spiritual gathering",wedding,casual,understated,dark,4,0,3,1
"formal wedding weekend opening dinner, sets the tone for the whole trip",wedding,formal,understated,neutral,4,1,3,2
"formal office birthday surprise event after work, need to look great without warning",office,formal,no_constraint,soft,2,1,2,3
"semi-formal office farewell for a colleague I actually like, want to look memorable",office,semi-formal,understated,bright,2,2,3,0
casual work from home day that suddenly has a very important video call,office,casual,bold,dark,2,0,0,1
formal office look for an award ceremony where I'm being recognised,office,formal,bold,neutral,2,1,0,2
"casual date at a bookshop followed by a walk, intellectual and quietly pretty",casual,casual,understated,soft,0,0,3,3
semi-formal casual look for a spontaneous day trip to the countryside,casual,semi-formal,no_constraint,bright,0,2,2,0
elevated casual look for a lazy Saturday that has photo potential,casual,formal,understated,dark,0,1,3,1
bold casual everyday look for a girl who never has a boring outfit day,casual,casual,bold,neutral,0,0,0,2
"formal date to a classical concert, I want to look like I belong in that world",date,formal,understated,soft,1,1,3,3
"semi-formal second date at a wine bar, building on last time",date,semi-formal,bold,bright,1,2,0,0
"casual date to a vintage market, relaxed and tactile and fun",date,casual,no_constraint,dark,1,0,2,1
"formal date to an exclusive restaurant he booked six weeks in advance, no pressure",date,formal,understated,neutral,1,1,3,2
something for a winter formal gala where the dress code says white tie and I'm panicking,party,formal,understated,soft,3,1,3,3
"formal fundraiser dinner look, I'm seated next to someone important and need to look it",party,formal,understated,bright,3,1,3,0
"going to an opera followed by a after party, need one look to do both",party,formal,understated,dark,3,1,3,1
"classic elegant formal party look, I want to look like I've always had great taste",party,formal,understated,neutral,3,1,3,2
"red gown energy for a formal awards party, I want to make an entrance",party,formal,bold,soft,3,1,0,3
"going to a formal launch event for a fashion brand, they'll judge what I wear",party,formal,bold,bright,3,1,0,0
"theatrical formal party look, maximalist and intentional not just decorated",party,formal,bold,dark,3,1,0,1
"power suit for a formal corporate party, I'm not wearing a dress and I won't be talked out of it",party,formal,bold,neutral,3,1,0,2
"formal dinner party at someone's private home, intimate and elegant",party,formal,no_constraint,soft,3,1,2,3
something for a formal charity event where the crowd is older and more traditional,party,formal,no_constraint,bright,3,1,2,0
"formal alumni dinner, want to look successful and put together",party,formal,no_constraint,dark,3,1,2,1
formal industry party where I'll be photographed and the photos will live online forever,party,formal,no_constraint,neutral,3,1,2,2
"semi-formal pre-drinks look before a big night, needs to transition to the club",party,semi-formal,understated,soft,3,2,3,3
"something for a semi-formal boat party in summer, glamorous but sea-worthy",party,semi-formal,understated,bright,3,2,3,0
"semi-formal work anniversary party, celebrating a milestone without going overboard",party,semi-formal,understated,dark,3,2,3,1
"elevated dinner party look, host is very stylish and I want to hold my own",party,semi-formal,understated,neutral,3,2,3,2
something for a 30th birthday party where the dress code is old Hollywood,party,semi-formal,bold,soft,3,2,0,3
neon party look that's bold and camp and completely intentional,party,semi-formal,bold,bright,3,2,0,0
"semi-formal murder mystery dinner party, dramatic and themed but genuinely chic",party,semi-formal,bold,dark,3,2,0,1
statement look for a semi-formal industry mixer where I need to be remembered,party,semi-formal,bold,neutral,3,2,0,2
"something for a semi-formal champagne tasting evening, sophisticated and relaxed",party,semi-formal,no_constraint,soft,3,2,2,3
"semi-formal summer party at a rooftop pool, not swimwear but still breezy",party,semi-formal,no_constraint,bright,3,2,2,0
something for a semi-formal dinner party where everyone will definitely compare outfits,party,semi-formal,no_constraint,dark,3,2,2,1
"semi-formal cocktail masterclass evening, fun and stylish without being overdressed",party,semi-formal,no_constraint,neutral,3,2,2,2
"casual games night that secretly became a whole thing, still need to look cute",party,casual,understated,soft,3,0,3,3
"outdoor summer casual party, comfortable shoes essential, cute everything else",party,casual,understated,bright,3,0,3,0
"going to a friend's leaving drinks at a pub, no effort required but I'm still me",party,casual,understated,dark,3,0,3,1
"low-key casual celebration for finishing exams, relief and joy in outfit form",party,casual,understated,neutral,3,0,3,2
bold playful casual party look for a friend group that's all very fashion aware,party,casual,bold,soft,3,0,0,3
bright casual birthday look for a girl who brings the sunshine wherever she goes,party,casual,bold,bright,3,0,0,0
casual going out look that's edgy enough for a gig but wearable enough for a pub,party,casual,bold,dark,3,0,0,1
casual party look where I want to stand out without looking like I planned it for days,party,casual,bold,neutral,3,0,0,2
"casual birthday afternoon out, nothing fancy, still want to look like I have a personality",party,casual,no_constraint,soft,3,0,2,3
"something for a casual cinema birthday party, comfy but considered",party,casual,no_constraint,bright,3,0,2,0
"going to a friend's housewarming, casual and relaxed but bringing good energy",party,casual,no_constraint,dark,3,0,2,1
"casual picnic celebration, we're calling it a party but it's really a vibe check",party,casual,no_constraint,neutral,3,0,2,2
formal party look for an exclusive members club event where the crowd is intimidatingly chic,party,formal,understated,soft,3,1,3,3
something for a formal gala where I'll be photographed on a step and repeat,party,formal,understated,bright,3,1,3,0
"formal farewell party for a colleague who was basically a mentor, want to look respectful and beautiful",party,formal,understated,dark,3,1,3,1
formal dinner party hosted by someone with extremely good taste,party,formal,understated,neutral,3,1,3,2
"dramatic bold gown for a formal themed party, the theme is Renaissance and I'm committing",party,formal,bold,soft,3,1,0,3
bold metallic look for a formal New Year's Eve party at a luxury venue,party,formal,bold,bright,3,1,0,0
dark dramatic formal party look that would photograph like a fashion editorial,party,formal,bold,dark,3,1,0,1
bold tailored formal look for a party where I want to be the most stylish person there,party,formal,bold,neutral,3,1,0,2
"formal party in a rooftop penthouse, the setting is glamorous and I want to be too",party,formal,no_constraint,soft,3,1,2,3
something for a formal book launch party where the author is a style icon,party,formal,no_constraint,bright,3,1,2,0
"formal private dinner that turned into a party, I was not prepared for this",party,formal,no_constraint,dark,3,1,2,1
"formal party at an embassy, I don't know the rules but I know the vibe",party,formal,no_constraint,neutral,3,1,2,2
"semi-formal retirement party for someone I really admire, want to honour the occasion",party,semi-formal,understated,soft,3,2,3,3
"semi-formal summer party at a vineyard, the grapes are ripening and so am I",party,semi-formal,understated,bright,3,2,3,0
semi-formal birthday dinner for a friend who is obsessed with fashion,party,semi-formal,understated,dark,3,2,3,1
elevated dinner party look for a very curated gathering,party,semi-formal,understated,neutral,3,2,3,2
bold semi-formal garden party look that matches the flowers without trying,party,semi-formal,bold,soft,3,2,0,3
bright bold look for a semi-formal tropical birthday party,party,semi-formal,bold,bright,3,2,0,0
"semi-formal Halloween cocktail party, chic and eerie and absolutely intentional",party,semi-formal,bold,dark,3,2,0,1
bold statement look for a semi-formal networking event that I'm actually excited about,party,semi-formal,bold,neutral,3,2,0,2
something for a semi-formal office party with a surprise dress code reveal,party,semi-formal,no_constraint,soft,3,2,2,3
"semi-formal outdoor party in the mountains, cool air and incredible scenery",party,semi-formal,no_constraint,bright,3,2,2,0
"semi-formal dark dinner party, very adult and somewhat mysterious",party,semi-formal,no_constraint,dark,3,2,2,1
something for a semi-formal party on a terrace that overlooks the sea,party,semi-formal,no_constraint,neutral,3,2,2,2
"formal winter wedding in a gothic church, the architecture is dramatic and I want to match",wedding,formal,understated,soft,4,1,3,3
"spring formal wedding in a glasshouse, everything is light and botanical",wedding,formal,understated,bright,4,1,3,0
"formal black tie wedding at a luxury hotel, classic and timeless, not trying too hard",wedding,formal,understated,dark,4,1,3,1
"formal wedding in Japan as a foreign guest, want to be respectful and beautiful",wedding,formal,understated,neutral,4,1,3,2
"bold formal wedding look, the couple told guests to go all out and I took it seriously",wedding,formal,bold,soft,4,1,0,3
"maximalist formal wedding guest look, the venue is grand and I want to be too",wedding,formal,bold,bright,4,1,0,0
"velvet and drama for a formal winter wedding, I want to feel like a character",wedding,formal,bold,dark,4,1,0,1
statement jumpsuits for a formal wedding guest who refuses to wear a dress ever,wedding,formal,bold,neutral,4,1,0,2
formal outdoor wedding where comfort matters as much as looking good,wedding,formal,no_constraint,soft,4,1,2,3
"formal summer wedding, the theme is garden party but the dress code is black tie",wedding,formal,no_constraint,bright,4,1,2,0
formal wedding where I genuinely want to look like the best dressed guest,wedding,formal,no_constraint,dark,4,1,2,1
"formal evening wedding reception, ceremony is over and the real night begins",wedding,formal,no_constraint,neutral,4,1,2,2
"semi-formal wedding at a surf club, the vibe is breezy and the crowd is relaxed",wedding,semi-formal,understated,soft,4,2,3,3
semi-formal spring wedding where all the colours are pastels and I want to blend beautifully,wedding,semi-formal,understated,bright,4,2,3,0
"semi-formal autumn wedding at a pub with a garden, rustic and warm",wedding,semi-formal,understated,dark,4,2,3,1
semi-formal wedding where the couple is very minimalist and I want to respect that,wedding,semi-formal,understated,neutral,4,2,3,2
"bold floral midi for a semi-formal garden wedding, I want to be part of the landscape",wedding,semi-formal,bold,soft,4,2,0,3
bold bright semi-formal wedding look that celebrates the day not just attends it,wedding,semi-formal,bold,bright,4,2,0,0
something with drama for a semi-formal wedding in a candlelit venue,wedding,semi-formal,bold,dark,4,2,0,1
"semi-formal wedding look with a fashion-forward edge, the couple met at a runway show",wedding,semi-formal,bold,neutral,4,2,0,2
"semi-formal morning wedding followed by a long afternoon, need to last all day",wedding,semi-formal,no_constraint,soft,4,2,2,3
semi-formal outdoor wedding where the photos will be in golden sunlight,wedding,semi-formal,no_constraint,bright,4,2,2,0
semi-formal wedding where the venue is a gallery and the guests are all creative,wedding,semi-formal,no_constraint,dark,4,2,2,1
"semi-formal countryside wedding, the fields are green and everything is pastoral",wedding,semi-formal,no_constraint,neutral,4,2,2,2
"casual wedding on a narrowboat, limited space and no heels possible",wedding,casual,understated,soft,4,0,3,3
"casual daytime wedding celebration in a beach town, everything is light and salty",wedding,casual,understated,bright,4,0,3,0
"casual urban wedding in a cool warehouse space, the dress code is come as you are",wedding,casual,understated,dark,4,0,3,1
"casual ceremony in a garden followed by a picnic reception, completely relaxed",wedding,casual,understated,neutral,4,0,3,2
bold casual wedding look because the couple said wear something that makes you happy,wedding,casual,bold,soft,4,0,0,3
"bright bold casual wedding look, I want to celebrate loudly and visually",wedding,casual,bold,bright,4,0,0,0
"casual wedding with a dark aesthetic, the couple loves the dramatic and so do I",wedding,casual,bold,dark,4,0,0,1
statement casual look for a very informal wedding that still deserves an outfit,wedding,casual,bold,neutral,4,0,0,2
"casual destination wedding on a Greek island, loose and luminous",wedding,casual,no_constraint,soft,4,0,2,3
casual outdoor wedding where the vibes are free and the dress code is joy,wedding,casual,no_constraint,bright,4,0,2,0
casual wedding in an unconventional venue like a skatepark or brewery,wedding,casual,no_constraint,dark,4,0,2,1
"casual intimate wedding with twelve guests, relaxed but the photos will last forever",wedding,casual,no_constraint,neutral,4,0,2,2
formal wedding for royalty adjacent guests where the photos will be historical documents,wedding,formal,understated,soft,4,1,3,3
"formal summer wedding on the Amalfi Coast, the backdrop is extraordinary",wedding,formal,understated,bright,4,1,3,0
"formal church wedding followed by a castle reception, the whole thing is cinematic",wedding,formal,understated,dark,4,1,3,1
formal wedding where I've been told the guest list is extremely well dressed,wedding,formal,understated,neutral,4,1,3,2
"dramatic floral formal wedding look, I want to look like a garden in a good way",wedding,formal,bold,soft,4,1,0,3
"bold coral or amber formal wedding look, warm and celebratory",wedding,formal,bold,bright,4,1,0,0
"velvet deep formal wedding look, the venue is a manor house and the season is winter",wedding,formal,bold,dark,4,1,0,1
bold tailored formal wedding look for a guest who would rather trousers than a dress,wedding,formal,bold,neutral,4,1,0,2
formal wedding look that works for both the outdoor ceremony and the indoor party,wedding,formal,no_constraint,soft,4,1,2,3
"formal tropical wedding, the heat is real and I still need to look incredible",wedding,formal,no_constraint,bright,4,1,2,0
formal dark look for an evening wedding that starts at 7pm and ends at midnight,wedding,formal,no_constraint,dark,4,1,2,1
formal wedding look for someone who is slightly obsessed with dressing well and this is their moment,wedding,formal,no_constraint,neutral,4,1,2,2
"semi-formal wedding in a converted barn, the hay bales are everywhere but the people are chic",wedding,semi-formal,understated,soft,4,2,3,3
