prompt,occasion,formality,constraint,color_tone
"colourful bold casual party look for a friend's tropical themed birthday",party,casual,bold,soft
"something fun and bright for a casual beach party in summer",party,casual,bold,bright
"punk casual party look, my friends have chaotic taste and so do I",party,casual,bold,dark
"casual statement look for a party where I don't know many people so I want armour",party,casual,bold,neutral
"something for a casual pottery studio party, creative and cute",party,casual,no_constraint,soft
"daytime casual party look that still counts as an outfit when I post it",party,casual,no_constraint,bright
"going to a friend's flat party, no dress code, I just want to look effortlessly good",party,casual,no_constraint,dark
"casual birthday brunch outfit that's festive without looking like I'm trying",party,casual,no_constraint,neutral
"formal wedding in a cathedral, need something reverent but still stylish",wedding,formal,understated,soft
"pastel formal gown for a spring wedding that feels expensive and light",wedding,formal,understated,bright
"deep formal look for a December wedding where the venue is all candlelight",wedding,formal,understated,dark
"formal wedding guest look in greige or stone, quiet and elegant",wedding,formal,understated,neutral
"ruffled formal wedding guest dress in blush, I want to look like a painting",wedding,formal,bold,soft
"coral or tangerine formal wedding look, bold but still appropriate",wedding,formal,bold,bright
"velvet formal wedding guest look, dark and rich for a winter evening",wedding,formal,bold,dark
"wide-leg formal trouser look for a wedding, tailored and striking in neutrals",wedding,formal,bold,neutral
"formal wedding look for when I genuinely don't know the couple that well",wedding,formal,no_constraint,soft
"formal tropical wedding look, bright and celebratory but not beach casual",wedding,formal,no_constraint,bright
"formal autumn wedding where I want to wear something unexpected not just a gown",wedding,formal,no_constraint,dark
"something for a very formal Jewish wedding, covered shoulders but elegant",wedding,formal,no_constraint,neutral
"semi-formal lakeside wedding, serene and feminine, the water is in the background",wedding,semi-formal,understated,soft
"semi-formal barn wedding in summer, pretty but won't fight with the setting",wedding,semi-formal,understated,bright
"semi-formal moody autumn wedding in the woods, atmospheric and beautiful",wedding,semi-formal,understated,dark
"semi-formal city hall wedding followed by dinner, sleek and romantic",wedding,semi-formal,understated,neutral
"semi-formal Greek island wedding, the light there is golden and I want to match it",wedding,semi-formal,bold,soft
"bright statement dress for a semi-formal outdoor festival wedding",wedding,semi-formal,bold,bright
"semi-formal gothic manor wedding, I want to lean into the architecture",wedding,semi-formal,bold,dark
"something with print or texture for a semi-formal wedding that has personality",wedding,semi-formal,bold,neutral
"semi-formal garden wedding in spring, something that moves well in photos",wedding,semi-formal,no_constraint,soft
"semi-formal wedding on a boat, breezy and elegant, can't do spiky heels",wedding,semi-formal,no_constraint,bright
"semi-formal winter wedding, I don't want to be cold but I still want to look good",wedding,semi-formal,no_constraint,dark
"semi-formal wedding where the couple has great style and I want to honour that",wedding,semi-formal,no_constraint,neutral
"casual intimate wedding at a restaurant, 20 people max, soft and relaxed",wedding,casual,understated,soft
"casual daytime wedding in a park, sundress energy but considered",wedding,casual,understated,bright
"casual city wedding in a cool venue, artsy crowd, not a traditional crowd",wedding,casual,understated,dark
"simple casual wedding at a registry office followed by a pub, comfy but nice",wedding,casual,understated,neutral
"casual outdoor wedding where I want to be colourful and joyful",wedding,casual,bold,soft
"tropical prints for a casual beach side wedding, fun and appropriate",wedding,casual,bold,bright
"casual wedding with alternative dress code, I want to do something unexpected",wedding,casual,bold,dark
"casual but statement making wedding look, the couple is very cool and I respect that",wedding,casual,bold,neutral
"relaxed casual wedding where I still want to feel special even without a dress code",wedding,casual,no_constraint,soft
"casual afternoon outdoor wedding in summer, loose and lovely",wedding,casual,no_constraint,bright
"casual warehouse wedding, the venue is industrial and I want to match the vibe",wedding,casual,no_constraint,dark
"casual weekend wedding where I'm close enough to the couple to dress down a bit",wedding,casual,no_constraint,neutral
"office look for a day when I have back to back client calls and need to feel sharp",office,formal,understated,soft
"something formal for a day when I'm presenting to the exec team and need authority",office,formal,understated,bright
"formal work look that photographs well for my new LinkedIn headshot",office,formal,understated,dark
"clean and formal office day look, simple but clearly intentional",office,formal,understated,neutral
"formal work look that says I'm going places without saying it out loud",office,formal,bold,soft
"something bright and formal for a day when I need to feel energetic at work",office,formal,bold,bright
"formal dark office look with presence, I want to walk into the room and be noticed",office,formal,bold,dark
"bold neutral power look for a formal office day, structured and serious",office,formal,bold,neutral
"formal work outfit for a day where I genuinely have no idea what to wear",office,formal,no_constraint,soft
"something formal for a work trip to another city, polished and travel ready",office,formal,no_constraint,bright
"formal office look that works from morning standup to an evening client dinner",office,formal,no_constraint,dark
"formal workwear that feels like me even in a very corporate environment",office,formal,no_constraint,neutral
"semi-formal workday where I have a creative review and want to look the part",office,semi-formal,understated,soft
"smart casual office look for a day when I have a team lunch somewhere nice",office,semi-formal,understated,bright
"semi-formal work look for my first week at a new job when I'm still reading the room",office,semi-formal,understated,dark
"business casual look for a hybrid day, zoom in the morning real life in the afternoon",office,semi-formal,understated,neutral
"semi-formal work outfit with personality, I refuse to look like everyone else",office,semi-formal,bold,soft
"something semi-formal but expressive for a creative agency office environment",office,semi-formal,bold,bright
"semi-formal dark work look with texture and intention, not just a blazer",office,semi-formal,bold,dark
"bold smart casual office look that breaks the mould without breaking the dress code",office,semi-formal,bold,neutral
"semi-formal work look for an office with absolutely no dress code and too many options",office,semi-formal,no_constraint,soft
"smart casual office look when I'm going to a work event after and need it to transition",office,semi-formal,no_constraint,bright
"semi-formal office day look that feels polished on camera and comfortable in person",office,semi-formal,no_constraint,dark
"smart casual work look that doesn't make me feel like I'm wearing a uniform",office,semi-formal,no_constraint,neutral
"wfh outfit for a day of deep focus, no calls, just want to feel productive and calm",office,casual,understated,soft
"casual work day look that still makes me feel like I have my life together",office,casual,understated,bright
"work from home dark tones look, comfortable but still has a vibe",office,casual,understated,dark
"casual office look for a slow Friday, relaxed but not invisible",office,casual,understated,neutral
"bold casual work from home look, I dress up even when no one can see me",office,casual,bold,soft
"casual work day with a bold colour moment, I need something fun to get through the week",office,casual,bold,bright
"casual dark office look with edge, I work in tech but I still care about what I wear",office,casual,bold,dark
"casual work look with a statement piece, neutral base interesting addition",office,casual,bold,neutral
"casual office day with no rules, I just want to feel comfortable and confident",office,casual,no_constraint,soft
"casual Friday look that says I'm fun but still professional when it counts",office,casual,no_constraint,bright
"casual work from home look where I genuinely might not see anyone but still want to try",office,casual,no_constraint,dark
"relaxed casual workday look, comfortable and considered, not pyjamas but close",office,casual,no_constraint,neutral
"everyday soft look for a slow weekend morning that still feels intentional",casual,formal,understated,soft
"bright elevated casual look for a spontaneous day when anything could happen",casual,formal,understated,bright
"dark elevated everyday look, I dress like I have places to be even when I don't",casual,formal,understated,dark
"neutral elegant casual look for a girl who treats daily dressing as a ritual",casual,formal,understated,neutral
"soft bold casual look, playful and feminine for a girl who loves fashion",casual,formal,bold,soft
"bright bold casual look for someone who believes every day deserves a real outfit",casual,formal,bold,bright
"dark bold everyday look with a fashion edge, my casual is other people's going out",casual,formal,bold,dark
"bold neutral casual look for someone who takes personal style very seriously",casual,formal,bold,neutral
"soft elevated casual look with no agenda, just dressing for joy",casual,formal,no_constraint,soft
"bright open casual look for a day with no plans and good weather",casual,formal,no_constraint,bright
"dark elevated casual look, editorial feeling even while doing nothing",casual,formal,no_constraint,dark
"neutral elevated casual look, curated and considered for a regular Tuesday",casual,formal,no_constraint,neutral
"soft semi-formal casual look for a Sunday lunch at a nice local restaurant",casual,semi-formal,understated,soft
"bright semi-formal look for a daytime garden event that isn't quite a party",casual,semi-formal,understated,bright
"dark semi-formal casual look for a sophisticated afternoon out",casual,semi-formal,understated,dark
"neutral semi-formal casual look that works for both errands and an unexpected coffee date",casual,semi-formal,understated,neutral
"bold soft semi-formal everyday look for a girl who dresses like she has somewhere to be",casual,semi-formal,bold,soft
"bright bold semi-formal casual look for someone with unshakeable personal style",casual,semi-formal,bold,bright
"dark bold semi-formal casual outfit, interesting and layered even on a nothing day",casual,semi-formal,bold,dark
"bold neutral semi-formal everyday look, statement without drama",casual,semi-formal,bold,neutral
"semi-formal casual soft look that has no rules but still feels deliberate",casual,semi-formal,no_constraint,soft
"semi-formal casual bright look for a spontaneous summer afternoon adventure",casual,semi-formal,no_constraint,bright
"dark semi-formal casual look with no constraints, I dress how I feel",casual,semi-formal,no_constraint,dark
"neutral semi-formal casual look, refined and easy and completely mine",casual,semi-formal,no_constraint,neutral
"soft everyday casual look for a girl who's not trying to impress anyone",casual,casual,understated,soft
"bright everyday casual look for a girl who wears colour like it costs her nothing",casual,casual,understated,bright
"dark everyday casual look, always in black, it's a lifestyle not a phase",casual,casual,understated,dark
"neutral everyday casual look that's effortless and clean, no fuss",casual,casual,understated,neutral
"bold soft casual look, I like feminine colours and I'm not shy about it",casual,casual,bold,soft
"bright bold everyday casual look for someone who brings the energy",casual,casual,bold,bright
"dark bold everyday casual look for the girl who never tones it down",casual,casual,bold,dark
"bold neutral casual look, interesting shapes and textures in a quiet palette",casual,casual,bold,neutral
"casual no rules soft look for a girl who dresses for herself exclusively",casual,casual,no_constraint,soft
"bright casual look with zero agenda, I just want to feel alive in my clothes",casual,casual,no_constraint,bright
"dark casual no rules look, I wear what I want and it's always giving",casual,casual,no_constraint,dark
"neutral casual look with complete freedom, clean simple effortless",casual,casual,no_constraint,neutral
"formal first date to an opera, yes actually the opera, help",date,formal,understated,soft
"formal dinner date at a Michelin star restaurant, I want to look like I belong",date,formal,understated,bright
"formal date at a private members club, the dress code is strict and I panicked",date,formal,understated,dark
"formal date to a gala with someone I really like, pressure is immense",date,formal,understated,neutral
"bold romantic formal date look, I'm going all in and I want to look like I mean it",date,formal,bold,soft
"bright bold formal date look, I'm meeting someone exciting and I want to match",date,formal,bold,bright
"dramatic dark formal date look for someone who has extremely high standards",date,formal,bold,dark
"bold neutral formal date, the venue is very fancy and I want to look equal to it",date,formal,bold,neutral
"formal date look that's personal and interesting not just conventionally pretty",date,formal,no_constraint,soft
"formal date look that's bright and joyful, I want to feel radiant",date,formal,no_constraint,bright
"formal dark date look that's unconventional but still clearly dressed for the occasion",date,formal,no_constraint,dark
"formal date look in neutrals that feels like a signature not a safe choice",date,formal,no_constraint,neutral
"semi-formal date at a rooftop restaurant, I want to look city chic",date,semi-formal,understated,soft
"semi-formal spring date at a nice outdoor terrace, light and pretty",date,semi-formal,understated,bright
"semi-formal evening date, nice bar then dinner, dark and elegant",date,semi-formal,understated,dark
"semi-formal date where I want to look put together without looking like I planned it",date,semi-formal,understated,neutral
"semi-formal date look that's confident and bold and a little romantic",date,semi-formal,bold,soft
"bright bold semi-formal date look for a summer evening with serious potential",date,semi-formal,bold,bright
"dark bold semi-formal date, I want to look like a protagonist not a background character",date,semi-formal,bold,dark
"bold neutral semi-formal date, I'm dressing for confidence not for the occasion",date,semi-formal,bold,neutral
"semi-formal date look that feels completely natural and entirely me",date,semi-formal,no_constraint,soft
"semi-formal date look that's fresh and vibrant for a warm evening out",date,semi-formal,no_constraint,bright
"dark semi-formal date look with quiet intensity, I want to be interesting",date,semi-formal,no_constraint,dark
"semi-formal date in neutrals that feels elevated and considered",date,semi-formal,no_constraint,neutral
"casual date at a dog café, cute but relaxed, can't wear anything that'll get hairy",date,casual,understated,soft
"casual daytime date to a flower market, soft and pretty and practical",date,casual,understated,bright
"casual dark date look for going to see a film and getting food after",date,casual,understated,dark
"casual neutral date look for someone I've known a while but finally going on a proper date with",date,casual,understated,neutral
"bold casual date look in soft colours, I want to be remembered but also comfortable",date,casual,bold,soft
"bold bright casual date look, it's summer and I want to be unforgettable",date,casual,bold,bright
"bold dark casual date look, I dress like this normally and I want him to know it",date,casual,bold,dark
"bold neutral casual date look, I'm confident and I want my clothes to say it too",date,casual,bold,neutral
"casual date look with no rules, I just want to feel like the best version of myself",date,casual,no_constraint,soft
"bright casual date look, easy and colourful for someone I want to impress without trying",date,casual,no_constraint,bright
"dark casual date no rules look, I want to be effortlessly cool and that's it",date,casual,no_constraint,dark
"neutral casual date look that's so me it's almost a personal statement",date,casual,no_constraint,neutral
"formal warehouse rave turned upscale event, I don't know what to wear but it's a look",party,formal,understated,soft
"something for an exclusive formal rooftop party with a dress code I can't decode",party,semi-formal,bold,bright
"casual end of summer backyard sendoff party, nostalgic and cute",party,casual,no_constraint,dark
"semi-formal engagement party where both families will be there and I want to be liked",party,semi-formal,understated,neutral
"formal wedding anniversary party for my parents, respectful but still stylish",wedding,formal,bold,soft
"semi-formal wedding vow renewal celebration, joyful and light",wedding,semi-formal,no_constraint,bright
"casual outdoor wedding blessing ceremony, relaxed spiritual gathering",wedding,casual,understated,dark
"formal wedding weekend opening dinner, sets the tone for the whole trip",wedding,formal,understated,neutral
"formal office birthday surprise event after work, need to look great without warning",office,formal,no_constraint,soft
"semi-formal office farewell for a colleague I actually like, want to look memorable",office,semi-formal,understated,bright
"casual work from home day that suddenly has a very important video call",office,casual,bold,dark
"formal office look for an award ceremony where I'm being recognised",office,formal,bold,neutral
"casual date at a bookshop followed by a walk, intellectual and quietly pretty",casual,casual,understated,soft
"semi-formal casual look for a spontaneous day trip to the countryside",casual,semi-formal,no_constraint,bright
"elevated casual look for a lazy Saturday that has photo potential",casual,formal,understated,dark
"bold casual everyday look for a girl who never has a boring outfit day",casual,casual,bold,neutral
"formal date to a classical concert, I want to look like I belong in that world",date,formal,understated,soft
"semi-formal second date at a wine bar, building on last time",date,semi-formal,bold,bright
"casual date to a vintage market, relaxed and tactile and fun",date,casual,no_constraint,dark
"formal date to an exclusive restaurant he booked six weeks in advance, no pressure",date,formal,understated,neutral
something for a winter formal gala where the dress code says white tie and I'm panicking,party,formal,understated,soft
"formal fundraiser dinner look, I'm seated next to someone important and need to look it",party,formal,understated,bright
"going to an opera followed by a after party, need one look to do both",party,formal,understated,dark
"classic elegant formal party look, I want to look like I've always had great taste",party,formal,understated,neutral
"red gown energy for a formal awards party, I want to make an entrance",party,formal,bold,soft
"going to a formal launch event for a fashion brand, they'll judge what I wear",party,formal,bold,bright
"theatrical formal party look, maximalist and intentional not just decorated",party,formal,bold,dark
"power suit for a formal corporate party, I'm not wearing a dress and I won't be talked out of it",party,formal,bold,neutral
"formal dinner party at someone's private home, intimate and elegant",party,formal,no_constraint,soft
something for a formal charity event where the crowd is older and more traditional,party,formal,no_constraint,bright
"formal alumni dinner, want to look successful and put together",party,formal,no_constraint,dark
formal industry party where I'll be photographed and the photos will live online forever,party,formal,no_constraint,neutral
"semi-formal pre-drinks look before a big night, needs to transition to the club",party,semi-formal,understated,soft
"something for a semi-formal boat party in summer, glamorous but sea-worthy",party,semi-formal,understated,bright
"semi-formal work anniversary party, celebrating a milestone without going overboard",party,semi-formal,understated,dark
"elevated dinner party look, host is very stylish and I want to hold my own",party,semi-formal,understated,neutral
something for a 30th birthday party where the dress code is old Hollywood,party,semi-formal,bold,soft
neon party look that's bold and camp and completely intentional,party,semi-formal,bold,bright
"semi-formal murder mystery dinner party, dramatic and themed but genuinely chic",party,semi-formal,bold,dark
statement look for a semi-formal industry mixer where I need to be remembered,party,semi-formal,bold,neutral
"something for a semi-formal champagne tasting evening, sophisticated and relaxed",party,semi-formal,no_constraint,soft
"semi-formal summer party at a rooftop pool, not swimwear but still breezy",party,semi-formal,no_constraint,bright
something for a semi-formal dinner party where everyone will definitely compare outfits,party,semi-formal,no_constraint,dark
"semi-formal cocktail masterclass evening, fun and stylish without being overdressed",party,semi-formal,no_constraint,neutral
"casual games night that secretly became a whole thing, still need to look cute",party,casual,understated,soft
"outdoor summer casual party, comfortable shoes essential, cute everything else",party,casual,understated,bright
"going to a friend's leaving drinks at a pub, no effort required but I'm still me",party,casual,understated,dark
"low-key casual celebration for finishing exams, relief and joy in outfit form",party,casual,understated,neutral
bold playful casual party look for a friend group that's all very fashion aware,party,casual,bold,soft
bright casual birthday look for a girl who brings the sunshine wherever she goes,party,casual,bold,bright
casual going out look that's edgy enough for a gig but wearable enough for a pub,party,casual,bold,dark
casual party look where I want to stand out without looking like I planned it for days,party,casual,bold,neutral
"casual birthday afternoon out, nothing fancy, still want to look like I have a personality",party,casual,no_constraint,soft
"something for a casual cinema birthday party, comfy but considered",party,casual,no_constraint,bright
"going to a friend's housewarming, casual and relaxed but bringing good energy",party,casual,no_constraint,dark
"casual picnic celebration, we're calling it a party but it's really a vibe check",party,casual,no_constraint,neutral
formal party look for an exclusive members club event where the crowd is intimidatingly chic,party,formal,understated,soft
something for a formal gala where I'll be photographed on a step and repeat,party,formal,understated,bright
"formal farewell party for a colleague who was basically a mentor, want to look respectful and beautiful",party,formal,understated,dark
formal dinner party hosted by someone with extremely good taste,party,formal,understated,neutral
"dramatic bold gown for a formal themed party, the theme is Renaissance and I'm committing",party,formal,bold,soft
bold metallic look for a formal New Year's Eve party at a luxury venue,party,formal,bold,bright
dark dramatic formal party look that would photograph like a fashion editorial,party,formal,bold,dark
bold tailored formal look for a party where I want to be the most stylish person there,party,formal,bold,neutral
"formal party in a rooftop penthouse, the setting is glamorous and I want to be too",party,formal,no_constraint,soft
something for a formal book launch party where the author is a style icon,party,formal,no_constraint,bright
"formal private dinner that turned into a party, I was not prepared for this",party,formal,no_constraint,dark
"formal party at an embassy, I don't know the rules but I know the vibe",party,formal,no_constraint,neutral
"semi-formal retirement party for someone I really admire, want to honour the occasion",party,semi-formal,understated,soft
"semi-formal summer party at a vineyard, the grapes are ripening and so am I",party,semi-formal,understated,bright
semi-formal birthday dinner for a friend who is obsessed with fashion,party,semi-formal,understated,dark
elevated dinner party look for a very curated gathering,party,semi-formal,understated,neutral
bold semi-formal garden party look that matches the flowers without trying,party,semi-formal,bold,soft
bright bold look for a semi-formal tropical birthday party,party,semi-formal,bold,bright
"semi-formal Halloween cocktail party, chic and eerie and absolutely intentional",party,semi-formal,bold,dark
bold statement look for a semi-formal networking event that I'm actually excited about,party,semi-formal,bold,neutral
something for a semi-formal office party with a surprise dress code reveal,party,semi-formal,no_constraint,soft
"semi-formal outdoor party in the mountains, cool air and incredible scenery",party,semi-formal,no_constraint,bright
"semi-formal dark dinner party, very adult and somewhat mysterious",party,semi-formal,no_constraint,dark
something for a semi-formal party on a terrace that overlooks the sea,party,semi-formal,no_constraint,neutral
"formal winter wedding in a gothic church, the architecture is dramatic and I want to match",wedding,formal,understated,soft
"spring formal wedding in a glasshouse, everything is light and botanical",wedding,formal,understated,bright
"formal black tie wedding at a luxury hotel, classic and timeless, not trying too hard",wedding,formal,understated,dark
"formal wedding in Japan as a foreign guest, want to be respectful and beautiful",wedding,formal,understated,neutral
"bold formal wedding look, the couple told guests to go all out and I took it seriously",wedding,formal,bold,soft
"maximalist formal wedding guest look, the venue is grand and I want to be too",wedding,formal,bold,bright
"velvet and drama for a formal winter wedding, I want to feel like a character",wedding,formal,bold,dark
statement jumpsuits for a formal wedding guest who refuses to wear a dress ever,wedding,formal,bold,neutral
formal outdoor wedding where comfort matters as much as looking good,wedding,formal,no_constraint,soft
"formal summer wedding, the theme is garden party but the dress code is black tie",wedding,formal,no_constraint,bright
formal wedding where I genuinely want to look like the best dressed guest,wedding,formal,no_constraint,dark
"formal evening wedding reception, ceremony is over and the real night begins",wedding,formal,no_constraint,neutral
"semi-formal wedding at a surf club, the vibe is breezy and the crowd is relaxed",wedding,semi-formal,understated,soft
semi-formal spring wedding where all the colours are pastels and I want to blend beautifully,wedding,semi-formal,understated,bright
"semi-formal autumn wedding at a pub with a garden, rustic and warm",wedding,semi-formal,understated,dark
semi-formal wedding where the couple is very minimalist and I want to respect that,wedding,semi-formal,understated,neutral
"bold floral midi for a semi-formal garden wedding, I want to be part of the landscape",wedding,semi-formal,bold,soft
bold bright semi-formal wedding look that celebrates the day not just attends it,wedding,semi-formal,bold,bright
something with drama for a semi-formal wedding in a candlelit venue,wedding,semi-formal,bold,dark
"semi-formal wedding look with a fashion-forward edge, the couple met at a runway show",wedding,semi-formal,bold,neutral
"semi-formal morning wedding followed by a long afternoon, need to last all day",wedding,semi-formal,no_constraint,soft
semi-formal outdoor wedding where the photos will be in golden sunlight,wedding,semi-formal,no_constraint,bright
semi-formal wedding where the venue is a gallery and the guests are all creative,wedding,semi-formal,no_constraint,dark
"semi-formal countryside wedding, the fields are green and everything is pastoral",wedding,semi-formal,no_constraint,neutral
"casual wedding on a narrowboat, limited space and no heels possible",wedding,casual,understated,soft
"casual daytime wedding celebration in a beach town, everything is light and salty",wedding,casual,understated,bright
"casual urban wedding in a cool warehouse space, the dress code is come as you are",wedding,casual,understated,dark
"casual ceremony in a garden followed by a picnic reception, completely relaxed",wedding,casual,understated,neutral
bold casual wedding look because the couple said wear something that makes you happy,wedding,casual,bold,soft
"bright bold casual wedding look, I want to celebrate loudly and visually",wedding,casual,bold,bright
"casual wedding with a dark aesthetic, the couple loves the dramatic and so do I",wedding,casual,bold,dark
statement casual look for a very informal wedding that still deserves an outfit,wedding,casual,bold,neutral
"casual destination wedding on a Greek island, loose and luminous",wedding,casual,no_constraint,soft
casual outdoor wedding where the vibes are free and the dress code is joy,wedding,casual,no_constraint,bright
casual wedding in an unconventional venue like a skatepark or brewery,wedding,casual,no_constraint,dark
"casual intimate wedding with twelve guests, relaxed but the photos will last forever",wedding,casual,no_constraint,neutral
formal wedding for royalty adjacent guests where the photos will be historical documents,wedding,formal,understated,soft
"formal summer wedding on the Amalfi Coast, the backdrop is extraordinary",wedding,formal,understated,bright
"formal church wedding followed by a castle reception, the whole thing is cinematic",wedding,formal,understated,dark
formal wedding where I've been told the guest list is extremely well dressed,wedding,formal,understated,neutral
"dramatic floral formal wedding look, I want to look like a garden in a good way",wedding,formal,bold,soft
"bold coral or amber formal wedding look, warm and celebratory",wedding,formal,bold,bright
"velvet deep formal wedding look, the venue is a manor house and the season is winter",wedding,formal,bold,dark
bold tailored formal wedding look for a guest who would rather trousers than a dress,wedding,formal,bold,neutral
formal wedding look that works for both the outdoor ceremony and the indoor party,wedding,formal,no_constraint,soft
"formal tropical wedding, the heat is real and I still need to look incredible",wedding,formal,no_constraint,bright
formal dark look for an evening wedding that starts at 7pm and ends at midnight,wedding,formal,no_constraint,dark
formal wedding look for someone who is slightly obsessed with dressing well and this is their moment,wedding,formal,no_constraint,neutral
"semi-formal wedding in a converted barn, the hay bales are everywhere but the people are chic",wedding,semi-formal,understated,soft
"semi-formal spring wedding with a colour palette set by the bride, I'm working within it",wedding,semi-formal,understated,bright
"semi-formal rainy day wedding, I need a contingency look that still photographs",wedding,semi-formal,understated,dark
semi-formal wedding abroad in a country with a different dressing culture,wedding,semi-formal,understated,neutral
bold semi-formal wedding look that the couple specifically encouraged,wedding,semi-formal,bold,soft
bright bold semi-formal wedding guest look that celebrates life loudly,wedding,semi-formal,bold,bright
semi-formal gothic wedding where guests were told to dress accordingly,wedding,semi-formal,bold,dark
semi-formal wedding with a creative dress code that requires actual thought,wedding,semi-formal,bold,neutral
semi-formal outdoor morning wedding that goes all the way to an evening dinner,wedding,semi-formal,no_constraint,soft
"semi-formal wedding where I'm a guest and also doing a reading, dual role",wedding,semi-formal,no_constraint,bright
semi-formal winter wedding where the venue has incredible architecture,wedding,semi-formal,no_constraint,dark
semi-formal wedding where the dress code is cocktail but the venue is very grand,wedding,semi-formal,no_constraint,neutral
formal office look for a day I'm shadowing the CEO and need to look the part,office,formal,understated,soft
formal work look for a day I'm being introduced to a new team and first impressions matter,office,formal,understated,bright
something to wear for a formal board presentation where I'm the youngest in the room,office,formal,understated,dark
"formal office look that reads quietly expensive, not flashy just right",office,formal,understated,neutral
powerful formal office look that says I'm here and I have opinions,office,formal,bold,soft
bright formal work look for a day I need to bring maximum energy,office,formal,bold,bright
bold dark formal office look for a day I need to feel untouchable,office,formal,bold,dark
formal office look with a bold accessory that elevates a neutral base,office,formal,bold,neutral
formal workwear for a very conservative industry where dress code is unspoken but strict,office,formal,no_constraint,soft
something for a formal work event abroad where I need to represent myself well,office,formal,no_constraint,bright
formal office look that's creative enough for my industry and professional enough for clients,office,formal,no_constraint,dark
formal work look that I've worn a version of every day for two years and still love,office,formal,no_constraint,neutral
semi-formal work look for a day I have an external speaker coming in,office,semi-formal,understated,soft
smart casual office look for an open plan office where everyone can see what I'm wearing,office,semi-formal,understated,bright
semi-formal dark work look for a Monday when I need armour,office,semi-formal,understated,dark
business casual look for a co-working space where the vibe is creative but grown up,office,semi-formal,understated,neutral
semi-formal office look that says I care about style but I'm also very good at my job,office,semi-formal,bold,soft
bright semi-formal office look for a day I'm hosting a workshop and need presence,office,semi-formal,bold,bright
"semi-formal dark office look with something unexpected, a detail that people notice",office,semi-formal,bold,dark
bold semi-formal office look that makes me feel like a person not just an employee,office,semi-formal,bold,neutral
semi-formal work look I can walk to the office in and not look like I commuted,office,semi-formal,no_constraint,soft
smart casual work look for a startup where the dress code is genuinely whatever,office,semi-formal,no_constraint,bright
semi-formal office look that can go from a team lunch to an evening event,office,semi-formal,no_constraint,dark
business casual look for a job I like but where I still want to express myself,office,semi-formal,no_constraint,neutral
"casual wfh look for a week of deep work, no calls, just me and my tasks",office,casual,understated,soft
casual bright work day look for a creative studio where the energy is playful,office,casual,understated,bright
casual dark work look for a tech company that has no dress code and judges nothing,office,casual,understated,dark
casual Friday look that's still sharper than jeans and a hoodie,office,casual,understated,neutral
casual office look with a bold piece that makes the day feel less routine,office,casual,bold,soft
"bright and bold casual work look, I'm in a creative role and I dress the part",office,casual,bold,bright
bold dark casual office look for someone who takes their personal brand seriously even at work,office,casual,bold,dark
"casual office bold look, I want my outfit to spark a conversation today",office,casual,bold,neutral
"casual work day with absolutely no dress code, help",office,casual,no_constraint,soft
casual work look for a day that starts with coffee and ends with happy hour,office,casual,no_constraint,bright
"casual dark work look, comfortable and interesting, I work in a place that appreciates it",office,casual,no_constraint,dark
"relaxed work day look, it's just me in the office today and I'm dressing for myself",office,casual,no_constraint,neutral
formal office look that makes me feel like the main character of my own career,office,formal,understated,soft
"formal work look for a high stakes pitch day, I want the clothes to do some of the work",office,formal,understated,bright
formal office look for a day I'm meeting a client I've only ever seen on screen,office,formal,understated,dark
formal workwear for a day that will be long and I need to look good at 8am and 8pm,office,formal,understated,neutral
bold formal office look for a day I want to feel powerful,office,formal,bold,soft
"bright bold formal work look, the office is grey and I refuse to match it",office,formal,bold,bright
bold dark formal office look for a Monday when I need to remind people I'm serious,office,formal,bold,dark
"formal office look with one bold element, everything else is quiet",office,formal,bold,neutral
formal work look for an industry I've just entered and I'm learning the dress code by watching,office,formal,no_constraint,soft
formal office look for a company with a strict dress code I actually like following,office,formal,no_constraint,bright
formal dark office look with a personal touch that makes it mine,office,formal,no_constraint,dark
formal neutral office look for the day I'm being evaluated and I need everything to be right,office,formal,no_constraint,neutral
semi-formal office look for a day I'm being interviewed for an internal promotion,office,semi-formal,understated,soft
smart casual office look for a day I have a really important one to one,office,semi-formal,understated,bright
semi-formal dark work look for a team that dresses well and expects the same from me,office,semi-formal,understated,dark
business casual look for an office with an unspoken style hierarchy I'm climbing,office,semi-formal,understated,neutral
"semi-formal bold soft office look, I bring colour to a very beige workplace",office,semi-formal,bold,soft
bright semi-formal office look for a day I need to change the energy in the room,office,semi-formal,bold,bright
bold dark semi-formal work look that makes me feel like someone to be reckoned with,office,semi-formal,bold,dark
semi-formal neutral office look with a bold piece that does all the talking,office,semi-formal,bold,neutral
semi-formal work look for a company that says dress code is smart casual but means something different to everyone,office,semi-formal,no_constraint,soft
smart casual office look for a day I'll be on my feet all day managing an event,office,semi-formal,no_constraint,bright
semi-formal dark office look for a day I work from a client's site instead of my own,office,semi-formal,no_constraint,dark
business casual look for a new office where I'm still figuring out the culture,office,semi-formal,no_constraint,neutral
formal casual everyday look for a girl who treats her wardrobe like a personal archive,casual,formal,understated,soft
bright elevated casual look for a girl who overdresses for everything and is proud of it,casual,formal,understated,bright
dark formal casual look for someone whose every day outfit looks like a fashion week street style photo,casual,formal,understated,dark
neutral formal casual look that has the energy of a very considered person,casual,formal,understated,neutral
"bold soft formal casual look, I want to be feminine and striking simultaneously",casual,formal,bold,soft
"bold bright formal everyday look, I dress like every outing could be documented",casual,formal,bold,bright
