prompt,occasion,formality,constraint,color_tone,occasion_soft,formality_soft,constraint_soft,color_tone_soft,split,source
"casual formal contradiction, I dress formally even when I'm doing nothing",casual,formal,bold,bright,"{""casual"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
formal-feeling everyday look for a girl who never underdresses,casual,formal,no_constraint,dark,"{""casual"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"truly elevated casual look in neutrals, quiet luxury but for a day at home",casual,formal,understated,neutral,"{""casual"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"formal first date energy, I want to look like I take this seriously",date,formal,bold,soft,"{""date"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",heldout,original
elevated formal date look that feels personal and not like a uniform,date,formal,no_constraint,bright,"{""date"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
formal date look for someone who wants to feel powerful and attractive simultaneously,date,formal,understated,dark,"{""date"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"formal evening date look with a sense of humour, not stiff just elevated",date,formal,bold,neutral,"{""date"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
party look for a winter ball that's glamorous but won't freeze me to death,party,formal,understated,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
upscale holiday party dress that doesn't scream office christmas party,party,formal,understated,bright,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
something sleek and formal for a college formal that isn't a prom dress,party,formal,understated,dark,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
classic formal party look for a gala that I can rewear to other events,party,formal,understated,neutral,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
feminine power look for a fancy networking party where I want to be remembered,party,formal,bold,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
metallic formal party dress that's actually wearable not just shiny,party,formal,bold,bright,"{""party"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"dark dramatic formal party look, full fantasy no apologies",party,formal,bold,dark,"{""party"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"strong structured formal party look in neutral tones, zero fuss maximum impact",party,formal,bold,neutral,"{""party"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
formal party look that feels like art not just getting dressed up,party,formal,no_constraint,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
something for a formal launch party that looks like I belong there,party,formal,no_constraint,bright,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"formal dinner party guest look, intimate setting so every detail matters",party,formal,no_constraint,dark,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"formal party at a museum, I want to match the energy of the space",party,formal,no_constraint,neutral,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal graduation party look, celebrating but make it fashion",party,semi-formal,understated,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"something for a semi-formal summer solstice party, mystical but wearable",party,semi-formal,understated,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
semi-formal awards night look that's memorable but not distracting,party,semi-formal,understated,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
smart casual birthday party look that's elevated without being formal,party,semi-formal,understated,neutral,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal midsummer party look, romantic and a little dramatic",party,semi-formal,bold,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
something vibrant for a semi-formal Caribbean themed party,party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
semi-formal Halloween adjacent party where I want to look dark and cool not costumey,party,semi-formal,bold,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
bold co-ord for a semi-formal dinner party where I know everyone will be stylish,party,semi-formal,bold,neutral,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal book club party look, intellectual but still cute",party,semi-formal,no_constraint,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
what to wear to a semi-formal outdoor summer party at someone's villa,party,semi-formal,no_constraint,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal leaving party look, I want people to remember how good I looked",party,semi-formal,no_constraint,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
something for a semi-formal surprise party where I'm a guest not the host,party,semi-formal,no_constraint,neutral,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"casual birthday garden party look, pretty but prepared for the grass",party,casual,understated,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
something for an outdoor daytime party that won't look crumpled by noon,party,casual,understated,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",heldout,original
"casual going out to a concert look, comfortable enough to stand for hours",party,casual,understated,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
easy casual party look for a very low effort Sunday afternoon gathering,party,casual,understated,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
colourful bold casual party look for a friend's tropical themed birthday,party,casual,bold,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
something fun and bright for a casual beach party in summer,party,casual,bold,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"punk casual party look, my friends have chaotic taste and so do I",party,casual,bold,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
casual statement look for a party where I don't know many people so I want armour,party,casual,bold,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
"something for a casual pottery studio party, creative and cute",party,casual,no_constraint,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
daytime casual party look that still counts as an outfit when I post it,party,casual,no_constraint,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"going to a friend's flat party, no dress code, I just want to look effortlessly good",party,casual,no_constraint,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
casual birthday brunch outfit that's festive without looking like I'm trying,party,casual,no_constraint,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"formal wedding in a cathedral, need something reverent but still stylish",wedding,formal,understated,soft,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
pastel formal gown for a spring wedding that feels expensive and light,wedding,formal,understated,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
deep formal look for a December wedding where the venue is all candlelight,wedding,formal,understated,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"formal wedding guest look in greige or stone, quiet and elegant",wedding,formal,understated,neutral,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"ruffled formal wedding guest dress in blush, I want to look like a painting",wedding,formal,bold,soft,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
"coral or tangerine formal wedding look, bold but still appropriate",wedding,formal,bold,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"velvet formal wedding guest look, dark and rich for a winter evening",wedding,formal,bold,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"wide-leg formal trouser look for a wedding, tailored and striking in neutrals",wedding,formal,bold,neutral,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
formal wedding look for when I genuinely don't know the couple that well,wedding,formal,no_constraint,soft,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
"formal tropical wedding look, bright and celebratory but not beach casual",wedding,formal,no_constraint,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
formal autumn wedding where I want to wear something unexpected not just a gown,wedding,formal,no_constraint,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"something for a very formal Jewish wedding, covered shoulders but elegant",wedding,formal,no_constraint,neutral,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal lakeside wedding, serene and feminine, the water is in the background",wedding,semi-formal,understated,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"semi-formal barn wedding in summer, pretty but won't fight with the setting",wedding,semi-formal,understated,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal moody autumn wedding in the woods, atmospheric and beautiful",wedding,semi-formal,understated,dark,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"semi-formal city hall wedding followed by dinner, sleek and romantic",wedding,semi-formal,understated,neutral,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal Greek island wedding, the light there is golden and I want to match it",wedding,semi-formal,bold,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
bright statement dress for a semi-formal outdoor festival wedding,wedding,semi-formal,bold,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal gothic manor wedding, I want to lean into the architecture",wedding,semi-formal,bold,dark,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
something with print or texture for a semi-formal wedding that has personality,wedding,semi-formal,bold,neutral,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal garden wedding in spring, something that moves well in photos",wedding,semi-formal,no_constraint,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
"semi-formal wedding on a boat, breezy and elegant, can't do spiky heels",wedding,semi-formal,no_constraint,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal winter wedding, I don't want to be cold but I still want to look good",wedding,semi-formal,no_constraint,dark,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
semi-formal wedding where the couple has great style and I want to honour that,wedding,semi-formal,no_constraint,neutral,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"casual intimate wedding at a restaurant, 20 people max, soft and relaxed",wedding,casual,understated,soft,"{""wedding"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"casual daytime wedding in a park, sundress energy but considered",wedding,casual,understated,bright,"{""wedding"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"casual city wedding in a cool venue, artsy crowd, not a traditional crowd",wedding,casual,understated,dark,"{""wedding"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"simple casual wedding at a registry office followed by a pub, comfy but nice",wedding,casual,understated,neutral,"{""wedding"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
casual outdoor wedding where I want to be colourful and joyful,wedding,casual,bold,soft,"{""wedding"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
"tropical prints for a casual beach side wedding, fun and appropriate",wedding,casual,bold,bright,"{""wedding"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"casual wedding with alternative dress code, I want to do something unexpected",wedding,casual,bold,dark,"{""wedding"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"casual but statement making wedding look, the couple is very cool and I respect that",wedding,casual,bold,neutral,"{""wedding"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
relaxed casual wedding where I still want to feel special even without a dress code,wedding,casual,no_constraint,soft,"{""wedding"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
"casual afternoon outdoor wedding in summer, loose and lovely",wedding,casual,no_constraint,bright,"{""wedding"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"casual warehouse wedding, the venue is industrial and I want to match the vibe",wedding,casual,no_constraint,dark,"{""wedding"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
casual weekend wedding where I'm close enough to the couple to dress down a bit,wedding,casual,no_constraint,neutral,"{""wedding"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
office look for a day when I have back to back client calls and need to feel sharp,office,formal,understated,soft,"{""office"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
something formal for a day when I'm presenting to the exec team and need authority,office,formal,understated,bright,"{""office"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
formal work look that photographs well for my new LinkedIn headshot,office,formal,understated,dark,"{""office"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"clean and formal office day look, simple but clearly intentional",office,formal,understated,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
formal work look that says I'm going places without saying it out loud,office,formal,bold,soft,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
something bright and formal for a day when I need to feel energetic at work,office,formal,bold,bright,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"formal dark office look with presence, I want to walk into the room and be noticed",office,formal,bold,dark,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"bold neutral power look for a formal office day, structured and serious",office,formal,bold,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
formal work outfit for a day where I genuinely have no idea what to wear,office,formal,no_constraint,soft,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
"something formal for a work trip to another city, polished and travel ready",office,formal,no_constraint,bright,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
formal office look that works from morning standup to an evening client dinner,office,formal,no_constraint,dark,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
formal workwear that feels like me even in a very corporate environment,office,formal,no_constraint,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
semi-formal workday where I have a creative review and want to look the part,office,semi-formal,understated,soft,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
smart casual office look for a day when I have a team lunch somewhere nice,office,semi-formal,understated,bright,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
semi-formal work look for my first week at a new job when I'm still reading the room,office,semi-formal,understated,dark,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"business casual look for a hybrid day, zoom in the morning real life in the afternoon",office,semi-formal,understated,neutral,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal work outfit with personality, I refuse to look like everyone else",office,semi-formal,bold,soft,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
something semi-formal but expressive for a creative agency office environment,office,semi-formal,bold,bright,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal dark work look with texture and intention, not just a blazer",office,semi-formal,bold,dark,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
bold smart casual office look that breaks the mould without breaking the dress code,office,semi-formal,bold,neutral,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
semi-formal work look for an office with absolutely no dress code and too many options,office,semi-formal,no_constraint,soft,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
smart casual office look when I'm going to a work event after and need it to transition,office,semi-formal,no_constraint,bright,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
semi-formal office day look that feels polished on camera and comfortable in person,office,semi-formal,no_constraint,dark,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
smart casual work look that doesn't make me feel like I'm wearing a uniform,office,semi-formal,no_constraint,neutral,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"wfh outfit for a day of deep focus, no calls, just want to feel productive and calm",office,casual,understated,soft,"{""office"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
casual work day look that still makes me feel like I have my life together,office,casual,understated,bright,"{""office"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"work from home dark tones look, comfortable but still has a vibe",office,casual,understated,dark,"{""office"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"casual office look for a slow Friday, relaxed but not invisible",office,casual,understated,neutral,"{""office"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"bold casual work from home look, I dress up even when no one can see me",office,casual,bold,soft,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",heldout,original
"casual work day with a bold colour moment, I need something fun to get through the week",office,casual,bold,bright,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"casual dark office look with edge, I work in tech but I still care about what I wear",office,casual,bold,dark,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"casual work look with a statement piece, neutral base interesting addition",office,casual,bold,neutral,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
"casual office day with no rules, I just want to feel comfortable and confident",office,casual,no_constraint,soft,"{""office"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
casual Friday look that says I'm fun but still professional when it counts,office,casual,no_constraint,bright,"{""office"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
casual work from home look where I genuinely might not see anyone but still want to try,office,casual,no_constraint,dark,"{""office"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"relaxed casual workday look, comfortable and considered, not pyjamas but close",office,casual,no_constraint,neutral,"{""office"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
everyday soft look for a slow weekend morning that still feels intentional,casual,formal,understated,soft,"{""casual"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
bright elevated casual look for a spontaneous day when anything could happen,casual,formal,understated,bright,"{""casual"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"dark elevated everyday look, I dress like I have places to be even when I don't",casual,formal,understated,dark,"{""casual"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
neutral elegant casual look for a girl who treats daily dressing as a ritual,casual,formal,understated,neutral,"{""casual"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
"soft bold casual look, playful and feminine for a girl who loves fashion",casual,formal,bold,soft,"{""casual"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
bright bold casual look for someone who believes every day deserves a real outfit,casual,formal,bold,bright,"{""casual"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"dark bold everyday look with a fashion edge, my casual is other people's going out",casual,formal,bold,dark,"{""casual"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
bold neutral casual look for someone who takes personal style very seriously,casual,formal,bold,neutral,"{""casual"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
"soft elevated casual look with no agenda, just dressing for joy",casual,formal,no_constraint,soft,"{""casual"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
bright open casual look for a day with no plans and good weather,casual,formal,no_constraint,bright,"{""casual"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"dark elevated casual look, editorial feeling even while doing nothing",casual,formal,no_constraint,dark,"{""casual"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"neutral elevated casual look, curated and considered for a regular Tuesday",casual,formal,no_constraint,neutral,"{""casual"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
soft semi-formal casual look for a Sunday lunch at a nice local restaurant,casual,semi-formal,understated,soft,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
bright semi-formal look for a daytime garden event that isn't quite a party,casual,semi-formal,understated,bright,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
dark semi-formal casual look for a sophisticated afternoon out,casual,semi-formal,understated,dark,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
neutral semi-formal casual look that works for both errands and an unexpected coffee date,casual,semi-formal,understated,neutral,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
bold soft semi-formal everyday look for a girl who dresses like she has somewhere to be,casual,semi-formal,bold,soft,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
bright bold semi-formal casual look for someone with unshakeable personal style,casual,semi-formal,bold,bright,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"dark bold semi-formal casual outfit, interesting and layered even on a nothing day",casual,semi-formal,bold,dark,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"bold neutral semi-formal everyday look, statement without drama",casual,semi-formal,bold,neutral,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
semi-formal casual soft look that has no rules but still feels deliberate,casual,semi-formal,no_constraint,soft,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
semi-formal casual bright look for a spontaneous summer afternoon adventure,casual,semi-formal,no_constraint,bright,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"dark semi-formal casual look with no constraints, I dress how I feel",casual,semi-formal,no_constraint,dark,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"neutral semi-formal casual look, refined and easy and completely mine",casual,semi-formal,no_constraint,neutral,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
soft everyday casual look for a girl who's not trying to impress anyone,casual,casual,understated,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
bright everyday casual look for a girl who wears colour like it costs her nothing,casual,casual,understated,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"dark everyday casual look, always in black, it's a lifestyle not a phase",casual,casual,understated,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"neutral everyday casual look that's effortless and clean, no fuss",casual,casual,understated,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
"bold soft casual look, I like feminine colours and I'm not shy about it",casual,casual,bold,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
bright bold everyday casual look for someone who brings the energy,casual,casual,bold,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
dark bold everyday casual look for the girl who never tones it down,casual,casual,bold,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"bold neutral casual look, interesting shapes and textures in a quiet palette",casual,casual,bold,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
casual no rules soft look for a girl who dresses for herself exclusively,casual,casual,no_constraint,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
"bright casual look with zero agenda, I just want to feel alive in my clothes",casual,casual,no_constraint,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
